distance_name,rho_observed,ci_lower,ci_upper,spearman_p,perm_p,n,holm_p_primary,significant_holm_005,note
family_depth,0.5393598899705937,-0.14579829686503387,0.8827823856771551,0.08684229054535089,0.0835,11,0.334,False,
word_order,0.44494920831460977,-0.1956661302063295,0.7998247471591662,0.17027563705629806,0.159,11,0.334,False,
lexical_inv_chrf,0.46363636363636374,-0.25366187174296906,0.9720930232558141,0.15090149929248603,0.154,11,0.334,False,
lang2vec_syntax_average,0.7727272727272727,0.2718678668331969,0.9441309305549334,0.005299487178643863,0.009,11,0.045,True,
lang2vec_fam,0.5257203720113371,-0.07884900831250828,0.8965157419927045,0.09672554419920533,0.1,11,0.334,False,
script,-0.11952286093343938,-0.7303246225627097,0.6251000626047903,0.7263142108887259,0.793,11,,False,supplementary (excluded from correction)
morph,-0.020385887657505024,-0.6968232770126458,0.5752332957417412,0.952560388649377,0.97,11,,False,supplementary (excluded from correction)
lang2vec_phonology_average,0.7999999999999999,0.1111111111111111,1.0,0.10408803866182788,0.122,5,,False,supplementary (excluded from correction)
lang2vec_inventory_average,0.28571428571428575,-0.7468354430379749,1.0,0.4927262450169573,0.4915,8,,False,supplementary (excluded from correction)
lang2vec_geo,0.41818181818181827,-0.32692757009345796,0.8433888691953203,0.20057021703405067,0.22,11,,False,supplementary (excluded from correction)
