metric,spearman,kendall,n
comet,0.294660615194679,0.2004015411677065,4481
fluency2_raw,0.2764713183703807,0.18897683802768758,4481
fluency3_,0.27493970920301136,0.19037336344304936,4481
fluency2,0.2756029137009167,0.18849572960097014,4481
idiomatic,0.27081525333864426,0.19981891057820517,4481
collocational,0.2755513302028144,0.20265468483164784,4481
calque,0.26510713818883713,0.19260835225398545,4481
chrf,0.15136036310972806,0.10492767600879382,4141
bleu,0.11613119676973492,0.08833200158249327,4141
