distance_name,column,spearman,spearman_p,pearson,pearson_p,n
script,distance_script,-0.11952286093343938,0.7263142108887259,-0.25301398473732173,0.4528610619976214,11
family_depth,distance_family_depth,0.5393598899705937,0.08684229054535089,0.47770892180618113,0.13726352192025223,11
word_order,distance_word_order,0.44494920831460977,0.17027563705629806,0.3661942430081529,0.2680260826122165,11
morph,distance_morph,-0.020385887657505024,0.952560388649377,-0.09298731783959703,0.7856758649580057,11
lexical_inv_chrf,distance_lexical_inv_chrf,0.46363636363636374,0.15090149929248603,0.6118258195723073,0.04545053551863297,11
lang2vec_syntax_average,distance_lang2vec_syntax_average,0.7727272727272727,0.005299487178643863,0.7398776854022566,0.009238963667262672,11
lang2vec_phonology_average,distance_lang2vec_phonology_average,0.7999999999999999,0.10408803866182788,0.7742399776406015,0.12431439393525909,5
lang2vec_inventory_average,distance_lang2vec_inventory_average,0.28571428571428575,0.4927262450169573,0.34452940349504385,0.40330675545013644,8
lang2vec_fam,distance_lang2vec_fam,0.5257203720113371,0.09672554419920533,0.32774856475616837,0.32515018730019946,11
lang2vec_geo,distance_lang2vec_geo,0.41818181818181827,0.20057021703405067,0.4800131671401689,0.13510759335815672,11
