slice,labeller,taxonomy,count
A:f2:gpt5,gemini,calque,166
A:f2:gpt5,gemini,fluency,78
A:f2:gpt5,gemini,idiomaticity,245
A:f2:gpt5,gemini,other,156
A:f2:gpt5,gemini,register,50
A:f2:opus47,gemini,calque,162
A:f2:opus47,gemini,fluency,68
A:f2:opus47,gemini,idiomaticity,241
A:f2:opus47,gemini,other,159
A:f2:opus47,gemini,register,42
A:fmqm:gemini,gemini,calque,316
A:fmqm:gemini,gemini,fluency,121
A:fmqm:gemini,gemini,idiomaticity,484
A:fmqm:gemini,gemini,other,4
A:fmqm:gemini,gemini,register,99
A:fmqm:gpt5,gemini,calque,316
A:fmqm:gpt5,gemini,fluency,128
A:fmqm:gpt5,gemini,idiomaticity,465
A:fmqm:gpt5,gemini,other,5
A:fmqm:gpt5,gemini,register,93
B:low_human:pooled,gemini,calque,386
B:low_human:pooled,gemini,fluency,161
B:low_human:pooled,gemini,idiomaticity,498
B:low_human:pooled,gemini,other,2
B:low_human:pooled,gemini,register,95
C:f2:pooled,gemini,calque,53
C:f2:pooled,gemini,fluency,16
C:f2:pooled,gemini,idiomaticity,42
C:f2:pooled,gemini,other,205
C:f2:pooled,gemini,register,23
C:fmqm:pooled,gemini,calque,325
C:fmqm:pooled,gemini,fluency,123
C:fmqm:pooled,gemini,idiomaticity,454
C:fmqm:pooled,gemini,other,4
C:fmqm:pooled,gemini,register,78
