metric,pairwise_accuracy,n_pairs,tie_rate
comet,0.47054477582921805,25717,0.3516123339132189
fluency2_raw,0.47300653781368657,35027,0.11688475405289564
fluency3_,0.4721490124078297,33769,0.14860197161082117
fluency2,0.47108125597017225,32453,0.18178150921513753
idiomatic,0.46970481615743137,27034,0.31840758389430956
collocational,0.46955221703617267,27424,0.3085747422030608
calque,0.47088696878857345,28355,0.2851019842170285
chrf,0.4829196288709483,33196,0.10142652193920364
bleu,0.48511818968002307,27752,0.24878867444441438
