lp,pa_advantage,distance_lang2vec_syntax_average,log_wiki,wiki_articles
EN-ar_EG,0.0073595943781108,0.3664573011912853,6.079181246047625,1200000
EN-bho_IN,-0.016198948856921,0.3368513055626118,4.2552725051033065,18000
EN-cs_CZ,0.0215431465232705,0.3347129541255521,5.7160033436347994,520000
EN-et_EE,-0.0617260364150032,0.1948714493405545,5.380211241711606,240000
EN-is_IS,-0.0162976671002579,0.1541388345118119,4.7558748556724915,57000
EN-ja_JP,0.0275300631970046,0.4556873921182813,6.161368002234975,1450000
EN-mas_KE,0.1102204020482741,0.4311964156711185,2.903089986991944,800
EN-ru_RU,-0.047458736197723,0.1829927238519145,6.290034611362518,1950000
EN-sr_Cyrl_RS,0.0130802447900283,0.1846799340927017,5.826074802700826,670000
EN-uk_UA,-0.098657450299765,0.1526092265515003,6.096910013008056,1250000
EN-zh_CN,0.0161178517420035,0.2684461910386254,6.1303337684950066,1350000
