system_id,model_name
Claude Opus 4.5,Claude Opus 4.5
Claude Opus 4.5 (thinking),Claude Opus 4.5 (thinking)
Claude Opus 4.6,Claude Opus 4.6
Claude Opus 4.6 (thinking),Claude Opus 4.6 (thinking)
Claude Sonnet 4.6,Claude Sonnet 4.6
GPT-5.2 Chat,GPT-5.2 Chat
GPT-5.3 Chat,GPT-5.3 Chat
GPT-5.4,GPT-5.4
GPT-5.4 High,GPT-5.4 High
Gemini 3 Flash,Gemini 3 Flash
Gemini 3 Flash (thinking-minimal),Gemini 3 Flash (thinking-minimal)
Gemini 3 Pro,Gemini 3 Pro
Gemini 3.1 Pro Preview,Gemini 3.1 Pro Preview
Grok 4.1,Grok 4.1
Grok 4.1 (thinking),Grok 4.1 (thinking)
Grok 4.20,Grok 4.20
Grok 4.20 (reasoning),Grok 4.20 (reasoning)
Grok 4.20 Multi-Agent,Grok 4.20 Multi-Agent
Qwen 3.5+ (max class),Qwen 3.5+ (max class)
Seed 2.0 (ByteDance),Seed 2.0 (ByteDance)
