lp,tgt_code,pa_fluency,pa_chrf,pa_advantage,distance_script,distance_family_depth,distance_word_order,distance_morph,mean_chrf_lp,distance_lexical_inv_chrf,distance_lang2vec_syntax_average,distance_lang2vec_phonology_average,distance_lang2vec_inventory_average,distance_lang2vec_fam,distance_lang2vec_geo
EN-ar_EG,ar_EG,0.6127787307032591,0.6054191363251482,0.0073595943781108,1.0,6.0,1.0,1.5,37.26098018039773,0.5900184062670251,0.3664573011912853,0.2473821909936183,0.2663912362970176,1.0,0.0252343670675784
EN-bho_IN,bho_IN,0.4619683328158956,0.4781672816728167,-0.016198948856921,1.0,3.0,2.0,1.5,35.276876401108126,0.6463102202786978,0.3368513055626118,,,0.8639172365120457,0.09786957158616
EN-cs_CZ,cs_CZ,0.5087719298245614,0.4872287833012909,0.0215431465232705,0.0,3.0,0.0,2.5,56.107681987108954,0.0553109761865793,0.3347129541255521,,0.334973352217791,0.8639172365120457,0.0028523539605411
EN-et_EE,et_EE,0.4132128388906201,0.4749388753056234,-0.0617260364150032,0.0,7.0,0.0,2.5,51.444012895731746,0.1876258257645527,0.1948714493405545,,,1.0,0.0055192706619526
EN-is_IS,is_IS,0.3800539083557951,0.3963515754560531,-0.0162976671002579,0.0,2.0,0.0,2.5,50.12986546888281,0.2249100360504607,0.1541388345118119,,0.2597354909626015,0.591751709536137,0.0050728837957074
EN-it_IT,it_IT,0.4608482871125611,,,0.0,3.0,0.0,1.5,,,0.1152972997911229,,0.3000341771843086,0.8888888888888888,0.0046657033115563
EN-ja_JP,ja_JP,0.5136173184357542,0.4860872552387495,0.0275300631970046,1.0,8.0,2.0,2.5,28.52320013216007,0.8379215121854101,0.4556873921182813,0.3556139237744075,0.3407767746773715,1.0,0.1435296063143939
EN-mas_KE,mas_KE,0.5887955182072829,0.4785751161590088,0.1102204020482741,0.0,8.0,1.0,1.5,22.810459374724385,1.0,0.4311964156711185,0.3291796067500631,0.3241805894181364,1.0,0.0917582440176831
EN-ru_RU,ru_RU,0.4176136363636363,0.4650723725613593,-0.047458736197723,1.0,3.0,0.0,1.5,48.55376596829118,0.2696261949919858,0.1829927238519145,0.0954659662667091,0.3683310346247951,0.8333333333333334,0.041864568655393
EN-sr_Cyrl_RS,sr_Cyrl_RS,0.4583854818523153,0.445305237062287,0.0130802447900283,1.0,3.0,0.0,1.5,58.05721441584244,0.0,0.1846799340927017,,,0.8740118423302576,0.0076896349712941
EN-uk_UA,uk_UA,0.4538165490699166,0.5524739993696817,-0.098657450299765,1.0,3.0,0.0,1.5,54.835107233507195,0.0914157112782836,0.1526092265515003,,0.2562863132583278,0.850928801500014,0.0071620119919177
EN-zh_CN,zh_CN,0.4848291280740977,0.4687112763320942,0.0161178517420035,1.0,8.0,0.0,0.5,23.399549550405517,0.983286683412589,0.2684461910386254,0.1818181818181817,0.3507368233944314,1.0,0.1123780051208996
